,level_0,index,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,cluster
3178,3178,3178,INN03179,2,0,2,3,Meal Plan 1,0,Room_Type 1,46,2018,11,18,Online,0,0,0,68.07,5,Not_Canceled,2
3179,3179,3179,INN03180,2,0,0,2,Meal Plan 2,0,Room_Type 1,63,2017,9,4,Offline,0,0,0,116.0,0,Not_Canceled,7
3180,3180,3180,INN03181,2,0,0,2,Not Selected,0,Room_Type 1,1,2017,9,9,Online,0,0,0,115.0,1,Not_Canceled,3
3181,3181,3181,INN03182,2,0,0,1,Not Selected,0,Room_Type 1,10,2018,9,3,Online,0,0,0,129.0,0,Canceled,3
3182,3182,3182,INN03183,1,0,0,2,Meal Plan 1,0,Room_Type 1,59,2017,10,29,Offline,0,0,0,75.0,0,Not_Canceled,1
3183,3183,3183,INN03184,2,0,1,2,Meal Plan 1,0,Room_Type 1,34,2017,10,12,Online,0,0,0,103.5,1,Not_Canceled,2
3184,3184,3184,INN03185,2,0,0,1,Meal Plan 1,1,Room_Type 1,14,2018,11,25,Corporate,0,0,0,76.0,0,Not_Canceled,5
3185,3185,3185,INN03186,2,0,1,2,Meal Plan 2,0,Room_Type 1,161,2018,3,25,Online,0,0,0,130.0,0,Canceled,9
3186,3186,3186,INN03187,2,0,0,4,Meal Plan 1,0,Room_Type 1,47,2017,10,13,Online,0,0,0,94.5,1,Not_Canceled,2
3187,3187,3187,INN03188,2,0,0,3,Meal Plan 1,0,Room_Type 2,222,2018,9,14,Online,0,0,0,116.1,0,Canceled,8
3188,3188,3188,INN03189,2,0,2,6,Meal Plan 1,0,Room_Type 1,142,2018,8,3,Online,0,0,0,104.76,0,Canceled,2
3189,3189,3189,INN03190,2,0,2,3,Meal Plan 1,0,Room_Type 4,6,2018,8,26,Online,0,0,0,101.73,1,Not_Canceled,4
3190,3190,3190,INN03191,3,0,1,1,Meal Plan 1,0,Room_Type 4,47,2018,7,2,Online,0,0,0,150.3,1,Canceled,4
3191,3191,3191,INN03192,2,0,2,1,Meal Plan 1,0,Room_Type 4,118,2018,4,16,Online,0,0,0,95.7,0,Canceled,4
3192,3192,3192,INN03193,2,0,0,2,Meal Plan 1,0,Room_Type 1,263,2018,10,21,Online,0,0,0,110.0,0,Canceled,2
3193,3193,3193,INN03194,3,0,1,2,Meal Plan 1,0,Room_Type 4,54,2018,6,17,Online,0,0,0,159.3,2,Not_Canceled,4
3194,3194,3194,INN03195,2,0,0,3,Meal Plan 1,0,Room_Type 1,271,2018,9,21,Online,0,0,0,101.33,1,Canceled,2
3195,3195,3195,INN03196,3,0,0,4,Meal Plan 1,0,Room_Type 4,259,2018,12,7,Online,0,0,0,104.55,1,Not_Canceled,4
3196,3196,3196,INN03197,3,0,0,1,Meal Plan 1,0,Room_Type 4,59,2018,4,21,Online,0,0,0,137.7,2,Not_Canceled,4
3197,3197,3197,INN03198,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Online,0,0,0,100.0,0,Canceled,2
3198,3198,3198,INN03199,2,0,1,3,Meal Plan 1,0,Room_Type 1,4,2017,8,17,Online,0,0,0,122.0,3,Not_Canceled,2
3199,3199,3199,INN03200,2,0,0,2,Meal Plan 1,0,Room_Type 1,317,2018,9,15,Online,0,0,0,120.0,0,Canceled,2
3200,3200,3200,INN03201,2,0,0,3,Meal Plan 1,0,Room_Type 1,143,2018,8,25,Offline,0,0,0,100.0,0,Not_Canceled,1
3201,3201,3201,INN03202,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,2018,6,17,Online,0,0,0,75.0,0,Canceled,2
3202,3202,3202,INN03203,2,0,0,1,Not Selected,0,Room_Type 1,3,2018,9,2,Online,0,0,0,86.35,0,Not_Canceled,3
3203,3203,3203,INN03204,2,0,1,3,Meal Plan 1,0,Room_Type 4,68,2018,9,8,Online,0,0,0,149.4,1,Not_Canceled,4
3204,3204,3204,INN03205,2,0,2,1,Meal Plan 1,0,Room_Type 1,194,2018,10,29,Online,0,0,0,96.3,2,Canceled,2
3205,3205,3205,INN03206,3,0,1,5,Meal Plan 1,0,Room_Type 4,7,2018,6,28,Online,0,0,0,182.0,0,Not_Canceled,4
3206,3206,3206,INN03207,1,0,0,2,Meal Plan 1,0,Room_Type 1,9,2018,4,27,Corporate,0,0,0,95.0,0,Not_Canceled,5
3207,3207,3207,INN03208,1,0,0,3,Meal Plan 1,0,Room_Type 1,29,2018,4,14,Online,0,0,0,83.57,1,Not_Canceled,2
3208,3208,3208,INN03209,2,2,0,1,Meal Plan 1,0,Room_Type 6,0,2017,8,21,Online,0,0,0,174.0,1,Not_Canceled,6
3209,3209,3209,INN03210,2,0,0,1,Meal Plan 1,0,Room_Type 1,30,2018,9,7,Online,0,0,0,109.0,3,Not_Canceled,2
3210,3210,3210,INN03211,1,0,2,2,Meal Plan 1,0,Room_Type 1,99,2018,7,9,Online,0,0,0,112.05,0,Canceled,2
3211,3211,3211,INN03212,1,0,0,3,Meal Plan 1,0,Room_Type 1,19,2017,10,6,Offline,1,1,0,80.0,0,Not_Canceled,1
3212,3212,3212,INN03213,1,0,0,1,Meal Plan 1,0,Room_Type 1,4,2018,12,16,Offline,0,0,0,70.0,0,Not_Canceled,1
3213,3213,3213,INN03214,3,0,2,1,Meal Plan 1,0,Room_Type 4,70,2018,4,9,Online,0,0,0,137.7,2,Not_Canceled,4
3214,3214,3214,INN03215,2,0,0,1,Not Selected,0,Room_Type 1,72,2018,7,6,Online,0,0,0,107.1,0,Canceled,3
3215,3215,3215,INN03216,1,0,1,1,Meal Plan 1,0,Room_Type 1,7,2018,7,11,Corporate,1,1,16,67.0,1,Not_Canceled,5
3216,3216,3216,INN03217,2,0,1,0,Meal Plan 1,0,Room_Type 1,5,2018,8,21,Online,0,0,0,167.0,0,Canceled,2
3217,3217,3217,INN03218,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,Offline,0,0,0,75.0,0,Not_Canceled,1
3218,3218,3218,INN03219,2,0,1,0,Meal Plan 1,0,Room_Type 1,22,2018,11,27,Online,0,0,0,104.0,1,Not_Canceled,2
3219,3219,3219,INN03220,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95.0,0,Not_Canceled,1
3220,3220,3220,INN03221,2,0,0,3,Meal Plan 1,0,Room_Type 1,271,2018,9,21,Online,0,0,0,101.33,1,Canceled,2
3221,3221,3221,INN03222,2,0,2,0,Meal Plan 1,0,Room_Type 1,95,2018,11,20,Online,0,0,0,84.6,2,Canceled,2
3222,3222,3222,INN03223,1,0,1,2,Meal Plan 1,0,Room_Type 1,154,2018,7,1,Online,0,0,0,75.0,0,Canceled,2
3223,3223,3223,INN03224,1,0,0,3,Meal Plan 1,0,Room_Type 1,276,2018,9,22,Offline,0,0,0,95.67,0,Not_Canceled,1
3224,3224,3224,INN03225,2,0,1,1,Meal Plan 2,0,Room_Type 1,301,2018,7,30,Online,0,0,0,115.0,1,Canceled,9
3225,3225,3225,INN03226,2,0,0,2,Meal Plan 1,0,Room_Type 1,122,2018,4,15,Offline,0,0,0,85.0,0,Not_Canceled,1
3226,3226,3226,INN03227,2,0,0,3,Meal Plan 1,0,Room_Type 1,103,2018,5,4,Offline,0,0,0,80.0,0,Not_Canceled,1
3227,3227,3227,INN03228,2,0,1,2,Meal Plan 1,0,Room_Type 4,185,2018,12,16,Online,0,0,0,103.5,0,Not_Canceled,4
3228,3228,3228,INN03229,2,0,1,2,Not Selected,0,Room_Type 1,185,2018,12,16,Online,0,0,0,79.2,0,Canceled,3
3229,3229,3229,INN03230,2,0,2,2,Meal Plan 1,0,Room_Type 1,209,2017,9,6,Online,0,0,0,89.2,0,Canceled,2
3230,3230,3230,INN03231,3,0,0,1,Meal Plan 1,0,Room_Type 4,45,2018,12,30,Online,0,0,0,167.4,0,Canceled,4
3231,3231,3231,INN03232,2,0,0,1,Meal Plan 1,0,Room_Type 4,54,2018,6,3,Online,0,0,0,140.4,0,Not_Canceled,4
3232,3232,3232,INN03233,2,0,0,3,Meal Plan 2,0,Room_Type 1,34,2017,9,23,Online,0,0,0,224.67,0,Canceled,9
3233,3233,3233,INN03234,2,0,0,3,Meal Plan 1,0,Room_Type 1,103,2018,5,4,Offline,0,0,0,80.0,0,Not_Canceled,1
3234,3234,3234,INN03235,2,0,1,3,Meal Plan 2,0,Room_Type 1,98,2018,7,11,Online,0,0,0,141.75,0,Not_Canceled,9
3235,3235,3235,INN03236,2,0,0,2,Meal Plan 1,0,Room_Type 1,152,2018,8,10,Online,0,0,0,114.3,1,Canceled,2
3236,3236,3236,INN03237,2,0,2,5,Meal Plan 1,0,Room_Type 1,227,2018,8,29,Offline,0,0,0,80.75,0,Not_Canceled,1
3237,3237,3237,INN03238,2,1,2,2,Meal Plan 1,0,Room_Type 1,60,2017,10,16,Offline,0,0,0,84.58,1,Not_Canceled,1
3238,3238,3238,INN03239,1,0,1,3,Meal Plan 1,0,Room_Type 1,29,2018,12,19,Online,0,0,0,88.4,0,Not_Canceled,2
3239,3239,3239,INN03240,1,0,2,2,Meal Plan 1,0,Room_Type 4,49,2018,4,10,Online,0,0,0,112.2,0,Canceled,4
3240,3240,3240,INN03241,2,1,0,2,Meal Plan 1,0,Room_Type 1,2,2018,3,23,Online,0,0,0,117.65,1,Not_Canceled,2
3241,3241,3241,INN03242,2,0,2,4,Not Selected,0,Room_Type 1,185,2018,8,28,Online,0,0,0,61.0,0,Canceled,3
3242,3242,3242,INN03243,2,0,0,1,Meal Plan 1,0,Room_Type 1,27,2018,6,9,Offline,0,0,0,120.0,0,Not_Canceled,1
3243,3243,3243,INN03244,2,0,0,3,Meal Plan 1,0,Room_Type 1,183,2018,8,9,Online,0,0,0,112.0,1,Canceled,2
3244,3244,3244,INN03245,2,0,2,2,Meal Plan 2,0,Room_Type 1,61,2018,9,3,Offline,0,0,0,106.25,1,Not_Canceled,7
3245,3245,3245,INN03246,1,0,2,4,Meal Plan 1,0,Room_Type 1,245,2018,7,6,Online,0,0,0,110.0,0,Canceled,2
3246,3246,3246,INN03247,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,8,2,Online,0,0,0,102.7,0,Not_Canceled,2
3247,3247,3247,INN03248,1,0,0,1,Meal Plan 1,0,Room_Type 1,6,2018,6,8,Corporate,1,1,6,65.0,1,Not_Canceled,5
3248,3248,3248,INN03249,3,0,0,2,Meal Plan 1,0,Room_Type 4,199,2018,11,16,Online,0,0,0,140.0,0,Canceled,4
3249,3249,3249,INN03250,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,104.0,0,Not_Canceled,7
3250,3250,3250,INN03251,0,2,0,3,Meal Plan 2,0,Room_Type 6,0,2018,10,27,Online,0,0,0,18.6,2,Not_Canceled,0
3251,3251,3251,INN03252,3,0,3,6,Meal Plan 1,0,Room_Type 4,50,2018,8,22,Online,0,0,0,159.6,0,Canceled,4
3252,3252,3252,INN03253,2,1,1,2,Meal Plan 1,0,Room_Type 1,9,2018,4,22,Online,0,0,0,149.0,0,Canceled,2
3253,3253,3253,INN03254,2,0,2,5,Meal Plan 1,0,Room_Type 4,133,2018,7,16,Online,0,0,0,114.63,1,Not_Canceled,4
3254,3254,3254,INN03255,1,0,0,2,Meal Plan 1,0,Room_Type 1,151,2018,1,19,Offline,0,0,0,71.0,0,Not_Canceled,1
3255,3255,3255,INN03256,2,1,1,2,Meal Plan 1,0,Room_Type 4,68,2018,5,13,Online,0,0,0,140.4,0,Canceled,4
3256,3256,3256,INN03257,2,0,2,3,Meal Plan 1,0,Room_Type 4,41,2017,11,1,Offline,0,0,0,60.0,1,Not_Canceled,4
3257,3257,3257,INN03258,3,0,0,3,Meal Plan 1,0,Room_Type 4,55,2018,12,8,Online,0,0,0,101.38,1,Not_Canceled,4
3258,3258,3258,INN03259,2,0,2,1,Meal Plan 1,0,Room_Type 1,145,2018,1,3,Offline,0,0,0,65.0,0,Not_Canceled,1
3259,3259,3259,INN03260,1,0,1,2,Meal Plan 2,0,Room_Type 1,161,2018,3,25,Online,0,0,0,105.0,0,Canceled,9
3260,3260,3260,INN03261,1,0,1,5,Meal Plan 1,0,Room_Type 4,15,2018,11,14,Online,0,0,0,96.9,2,Not_Canceled,4
3261,3261,3261,INN03262,2,0,2,4,Meal Plan 1,0,Room_Type 4,93,2018,5,19,Online,0,0,0,132.6,1,Not_Canceled,4
3262,3262,3262,INN03263,2,0,0,1,Meal Plan 1,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,80.0,0,Not_Canceled,1
3263,3263,3263,INN03264,1,0,0,2,Meal Plan 1,0,Room_Type 1,85,2017,9,9,Corporate,0,0,0,90.0,0,Not_Canceled,5
3264,3264,3264,INN03265,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95.0,0,Not_Canceled,1
3265,3265,3265,INN03266,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,9,22,Online,0,0,0,190.0,2,Not_Canceled,2
3266,3266,3266,INN03267,1,0,0,2,Not Selected,0,Room_Type 1,2,2018,6,14,Online,0,0,0,104.0,1,Not_Canceled,3
3267,3267,3267,INN03268,2,0,1,2,Meal Plan 1,0,Room_Type 1,86,2018,11,4,Online,0,0,0,90.0,2,Not_Canceled,2
3268,3268,3268,INN03269,1,0,0,3,Meal Plan 1,0,Room_Type 1,19,2017,10,6,Offline,1,1,0,80.0,0,Not_Canceled,1
3269,3269,3269,INN03270,2,0,2,0,Not Selected,0,Room_Type 1,0,2018,12,25,Online,0,0,0,80.0,0,Not_Canceled,3
3270,3270,3270,INN03271,2,0,0,1,Meal Plan 1,0,Room_Type 4,15,2018,9,28,Online,0,0,0,164.0,0,Not_Canceled,4
3271,3271,3271,INN03272,2,0,0,4,Not Selected,0,Room_Type 1,12,2018,11,1,Online,0,0,0,93.5,1,Not_Canceled,3
3272,3272,3272,INN03273,2,0,1,1,Meal Plan 1,0,Room_Type 4,47,2018,5,21,Online,0,0,0,140.4,1,Not_Canceled,4
3273,3273,3273,INN03274,2,0,0,3,Meal Plan 1,0,Room_Type 4,61,2018,4,7,Online,0,0,0,118.8,0,Not_Canceled,4
3274,3274,3274,INN03275,2,0,1,4,Meal Plan 1,0,Room_Type 4,39,2018,2,15,Online,0,0,0,98.1,1,Not_Canceled,4
3275,3275,3275,INN03276,3,0,0,1,Meal Plan 1,0,Room_Type 4,31,2018,4,30,Online,0,0,0,168.3,0,Canceled,4
3276,3276,3276,INN03277,2,0,1,2,Meal Plan 1,0,Room_Type 1,72,2018,12,23,Online,0,0,0,93.6,1,Not_Canceled,2
3277,3277,3277,INN03278,3,0,2,2,Meal Plan 1,0,Room_Type 1,77,2018,5,15,Online,0,0,0,150.45,1,Canceled,2
3278,3278,3278,INN03279,2,0,2,2,Meal Plan 1,0,Room_Type 1,60,2018,4,8,Offline,0,0,0,75.0,1,Not_Canceled,1
3279,3279,3279,INN03280,1,0,2,7,Meal Plan 1,0,Room_Type 1,87,2018,9,2,Offline,0,0,0,85.0,1,Not_Canceled,1
3280,3280,3280,INN03281,2,0,0,2,Meal Plan 1,0,Room_Type 1,122,2018,4,15,Offline,0,0,0,94.0,0,Not_Canceled,1
3281,3281,3281,INN03282,2,0,2,3,Meal Plan 1,0,Room_Type 1,303,2018,8,19,Offline,0,0,0,78.0,1,Not_Canceled,1
3282,3282,3282,INN03283,1,0,0,2,Meal Plan 1,0,Room_Type 4,3,2018,5,27,Online,0,0,0,176.0,0,Canceled,4
3283,3283,3283,INN03284,2,1,0,3,Meal Plan 1,0,Room_Type 1,122,2017,7,29,Online,0,0,0,76.5,1,Not_Canceled,2
3284,3284,3284,INN03285,2,0,2,4,Not Selected,0,Room_Type 1,124,2018,12,4,Online,0,0,0,74.8,0,Canceled,3
3285,3285,3285,INN03286,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,1,26,Corporate,1,0,8,66.0,0,Not_Canceled,5
3286,3286,3286,INN03287,2,0,1,3,Meal Plan 1,0,Room_Type 1,116,2018,11,3,Online,0,0,0,90.0,1,Not_Canceled,2
3287,3287,3287,INN03288,2,0,2,1,Meal Plan 1,0,Room_Type 1,38,2018,3,5,Online,0,0,0,83.9,1,Not_Canceled,2
3288,3288,3288,INN03289,1,0,2,0,Meal Plan 1,0,Room_Type 1,2,2018,11,13,Online,0,0,0,103.0,2,Not_Canceled,2
3289,3289,3289,INN03290,1,0,2,8,Meal Plan 1,0,Room_Type 1,45,2018,11,1,Online,0,0,0,101.38,0,Canceled,2
3290,3290,3290,INN03291,2,0,2,5,Meal Plan 1,0,Room_Type 4,208,2018,8,13,Online,0,0,0,77.51,0,Canceled,4
3291,3291,3291,INN03292,1,0,2,0,Meal Plan 1,0,Room_Type 1,9,2018,5,29,Online,0,0,0,97.02,1,Not_Canceled,2
3292,3292,3292,INN03293,2,0,1,2,Meal Plan 1,0,Room_Type 2,224,2017,10,2,Offline,0,0,0,65.0,1,Not_Canceled,8
3293,3293,3293,INN03294,2,0,0,1,Not Selected,0,Room_Type 1,5,2018,2,20,Online,0,0,0,79.0,0,Not_Canceled,3
3294,3294,3294,INN03295,2,0,1,3,Not Selected,0,Room_Type 1,93,2018,12,26,Online,0,0,0,92.51,2,Not_Canceled,3
3295,3295,3295,INN03296,2,0,0,3,Meal Plan 1,0,Room_Type 4,122,2018,5,12,Online,0,0,0,121.5,1,Not_Canceled,4
3296,3296,3296,INN03297,2,1,1,1,Meal Plan 1,1,Room_Type 1,36,2018,2,27,Online,0,0,0,107.3,1,Not_Canceled,2
3297,3297,3297,INN03298,1,0,0,1,Meal Plan 1,0,Room_Type 1,10,2018,1,15,Online,0,0,0,72.9,0,Not_Canceled,2
3298,3298,3298,INN03299,2,0,1,0,Not Selected,0,Room_Type 1,40,2018,10,2,Online,0,0,0,97.2,1,Canceled,3
3299,3299,3299,INN03300,2,0,1,0,Not Selected,0,Room_Type 1,121,2018,5,2,Online,0,0,0,129.0,1,Not_Canceled,3
3300,3300,3300,INN03301,2,1,0,2,Meal Plan 1,0,Room_Type 1,97,2018,7,12,Online,0,0,0,121.5,1,Not_Canceled,2
3301,3301,3301,INN03302,2,0,0,4,Not Selected,0,Room_Type 1,8,2017,10,28,Online,0,0,0,109.25,0,Not_Canceled,3
3302,3302,3302,INN03303,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,10,17,Corporate,1,0,1,95.0,0,Not_Canceled,5
3303,3303,3303,INN03304,3,0,1,5,Meal Plan 1,0,Room_Type 4,123,2018,9,20,Online,0,0,0,162.0,0,Canceled,4
3304,3304,3304,INN03305,1,0,0,1,Meal Plan 1,0,Room_Type 1,4,2018,10,25,Online,0,0,0,104.0,0,Not_Canceled,2
3305,3305,3305,INN03306,2,0,0,1,Meal Plan 1,0,Room_Type 1,208,2018,12,27,Offline,0,0,0,81.0,1,Not_Canceled,1
3306,3306,3306,INN03307,2,2,1,2,Meal Plan 1,0,Room_Type 6,96,2018,10,28,Online,0,0,0,162.9,1,Canceled,6
3307,3307,3307,INN03308,2,0,0,3,Meal Plan 1,0,Room_Type 4,130,2018,9,29,Online,0,0,0,139.5,2,Not_Canceled,4
3308,3308,3308,INN03309,2,0,1,2,Meal Plan 1,0,Room_Type 1,151,2018,8,5,Offline,0,0,0,72.25,0,Not_Canceled,1
3309,3309,3309,INN03310,2,0,1,0,Meal Plan 1,0,Room_Type 1,10,2018,5,29,Online,0,0,0,120.35,1,Not_Canceled,2
3310,3310,3310,INN03311,2,0,0,1,Not Selected,0,Room_Type 1,36,2018,2,13,Online,0,0,0,67.5,0,Canceled,3
3311,3311,3311,INN03312,1,0,1,0,Meal Plan 1,0,Room_Type 1,4,2017,8,31,Corporate,0,0,0,65.0,0,Not_Canceled,5
3312,3312,3312,INN03313,2,0,1,1,Meal Plan 1,0,Room_Type 1,0,2017,9,5,Online,0,0,0,147.5,0,Not_Canceled,2
3313,3313,3313,INN03314,1,0,1,1,Meal Plan 2,0,Room_Type 1,301,2018,7,30,Offline,0,0,0,90.0,0,Not_Canceled,7
3314,3314,3314,INN03315,2,0,0,2,Meal Plan 1,0,Room_Type 4,94,2018,4,28,Online,0,0,0,125.1,1,Not_Canceled,4
3315,3315,3315,INN03316,2,0,1,1,Meal Plan 1,0,Room_Type 2,0,2017,12,5,Online,0,0,0,73.64,0,Not_Canceled,8
3316,3316,3316,INN03317,2,1,1,2,Meal Plan 1,0,Room_Type 1,117,2018,9,16,Online,0,0,0,145.8,1,Canceled,2
3317,3317,3317,INN03318,2,0,0,3,Not Selected,0,Room_Type 1,37,2018,12,8,Online,0,0,0,88.0,0,Canceled,3
3318,3318,3318,INN03319,2,0,0,3,Meal Plan 1,0,Room_Type 1,203,2018,8,9,Online,0,0,0,96.3,0,Canceled,2
3319,3319,3319,INN03320,1,0,2,1,Meal Plan 1,0,Room_Type 1,38,2018,6,19,Online,0,0,0,81.0,0,Canceled,2
3320,3320,3320,INN03321,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,2018,2,4,Online,0,0,0,98.33,0,Not_Canceled,2
3321,3321,3321,INN03322,2,0,1,2,Meal Plan 1,0,Room_Type 4,8,2018,3,11,Online,0,0,0,124.0,0,Canceled,4
3322,3322,3322,INN03323,2,0,0,1,Meal Plan 1,0,Room_Type 4,5,2018,1,15,Online,1,11,5,89.3,1,Not_Canceled,4
3323,3323,3323,INN03324,2,0,0,4,Meal Plan 1,0,Room_Type 4,22,2017,10,20,Offline,0,0,0,75.0,0,Not_Canceled,4
3324,3324,3324,INN03325,1,0,0,3,Meal Plan 1,0,Room_Type 1,14,2017,9,15,Online,0,0,0,114.0,1,Not_Canceled,2
3325,3325,3325,INN03326,2,1,0,2,Meal Plan 1,0,Room_Type 1,138,2018,7,14,Online,0,0,0,130.5,1,Not_Canceled,2
3326,3326,3326,INN03327,1,0,0,2,Meal Plan 1,0,Room_Type 1,13,2018,11,8,Corporate,0,0,0,170.0,0,Not_Canceled,5
3327,3327,3327,INN03328,1,0,0,2,Meal Plan 1,0,Room_Type 1,36,2018,1,19,Offline,0,0,0,71.0,0,Not_Canceled,1
3328,3328,3328,INN03329,2,0,2,3,Meal Plan 1,0,Room_Type 1,359,2018,10,14,Offline,0,0,0,39.0,1,Not_Canceled,1
3329,3329,3329,INN03330,2,1,1,4,Meal Plan 1,0,Room_Type 1,225,2018,10,17,Online,0,0,0,106.25,0,Canceled,2
3330,3330,3330,INN03331,2,0,0,2,Meal Plan 1,0,Room_Type 1,77,2018,3,25,Online,0,0,0,109.8,0,Not_Canceled,2
3331,3331,3331,INN03332,2,0,0,3,Meal Plan 2,0,Room_Type 1,88,2018,5,3,Offline,0,0,0,117.0,1,Not_Canceled,7
3332,3332,3332,INN03333,2,0,2,2,Meal Plan 1,0,Room_Type 1,27,2017,9,18,Online,0,0,0,120.9,0,Canceled,2
3333,3333,3333,INN03334,2,0,0,4,Meal Plan 1,0,Room_Type 4,47,2018,4,12,Online,0,0,0,114.33,1,Not_Canceled,4
3334,3334,3334,INN03335,2,0,0,1,Not Selected,0,Room_Type 1,1,2017,8,7,Online,0,0,0,81.0,2,Not_Canceled,3
3335,3335,3335,INN03336,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,109.0,0,Not_Canceled,7
3336,3336,3336,INN03337,2,2,0,3,Meal Plan 1,0,Room_Type 1,176,2018,9,15,Online,0,0,0,143.1,0,Canceled,2
3337,3337,3337,INN03338,2,0,1,2,Meal Plan 1,0,Room_Type 1,305,2018,11,4,Online,0,0,0,89.0,0,Canceled,2
3338,3338,3338,INN03339,2,0,1,3,Not Selected,0,Room_Type 1,233,2018,6,23,Online,0,0,0,100.3,0,Canceled,3
3339,3339,3339,INN03340,2,0,2,1,Meal Plan 1,0,Room_Type 4,152,2018,2,20,Offline,0,0,0,62.0,1,Not_Canceled,4
3340,3340,3340,INN03341,1,0,2,8,Meal Plan 1,0,Room_Type 1,205,2018,7,5,Online,0,0,0,90.95,1,Canceled,2
3341,3341,3341,INN03342,1,0,0,3,Meal Plan 1,0,Room_Type 1,113,2018,5,31,Corporate,0,0,0,100.0,0,Canceled,5
3342,3342,3342,INN03343,1,0,0,2,Meal Plan 2,0,Room_Type 1,57,2018,9,16,Offline,0,0,0,91.0,0,Not_Canceled,7
3343,3343,3343,INN03344,2,0,0,2,Meal Plan 1,0,Room_Type 1,12,2018,6,8,Online,0,0,0,121.0,1,Canceled,2
3344,3344,3344,INN03345,1,0,2,1,Meal Plan 1,0,Room_Type 1,6,2017,10,11,Online,0,0,0,97.02,1,Not_Canceled,2
3345,3345,3345,INN03346,2,0,0,1,Meal Plan 1,0,Room_Type 1,11,2018,9,29,Online,0,0,0,143.2,0,Not_Canceled,2
3346,3346,3346,INN03347,2,0,0,4,Not Selected,0,Room_Type 1,66,2018,8,31,Online,0,0,0,120.6,0,Not_Canceled,3
3347,3347,3347,INN03348,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Offline,0,0,0,100.0,0,Not_Canceled,1
3348,3348,3348,INN03349,2,0,0,4,Meal Plan 1,0,Room_Type 4,71,2018,4,6,Online,0,0,0,105.83,1,Not_Canceled,4
3349,3349,3349,INN03350,2,0,2,5,Meal Plan 1,0,Room_Type 4,10,2018,4,16,Online,0,0,0,128.86,0,Canceled,4
3350,3350,3350,INN03351,3,0,2,5,Meal Plan 1,0,Room_Type 4,111,2018,6,13,Online,0,0,0,150.45,2,Canceled,4
3351,3351,3351,INN03352,2,1,2,4,Meal Plan 1,0,Room_Type 1,101,2018,4,9,Online,0,0,0,85.28,2,Not_Canceled,2
3352,3352,3352,INN03353,2,0,0,1,Not Selected,0,Room_Type 1,14,2018,2,12,Online,0,0,0,79.0,1,Canceled,3
3353,3353,3353,INN03354,2,0,1,2,Meal Plan 1,0,Room_Type 1,101,2018,4,4,Online,0,0,0,80.0,0,Canceled,2
3354,3354,3354,INN03355,2,0,2,5,Not Selected,0,Room_Type 1,87,2018,5,22,Offline,0,0,0,85.0,0,Not_Canceled,3
3355,3355,3355,INN03356,2,1,2,2,Meal Plan 1,0,Room_Type 1,173,2018,8,13,Online,0,0,0,114.75,1,Canceled,2
3356,3356,3356,INN03357,2,0,0,3,Meal Plan 1,0,Room_Type 1,126,2018,3,24,Offline,0,0,0,55.0,0,Not_Canceled,1
3357,3357,3357,INN03358,3,0,2,2,Meal Plan 2,0,Room_Type 4,42,2018,3,20,Online,0,0,0,180.16,1,Not_Canceled,4
3358,3358,3358,INN03359,2,0,2,0,Meal Plan 2,0,Room_Type 1,275,2018,4,17,Online,0,0,0,110.0,0,Canceled,9
3359,3359,3359,INN03360,2,0,1,2,Not Selected,0,Room_Type 1,0,2018,4,15,Online,0,0,0,89.0,0,Not_Canceled,3
3360,3360,3360,INN03361,2,0,2,1,Not Selected,0,Room_Type 1,10,2018,2,13,Online,0,0,0,79.0,0,Canceled,3
3361,3361,3361,INN03362,2,0,0,4,Not Selected,0,Room_Type 1,18,2018,2,24,Online,0,0,0,79.0,1,Canceled,3
3362,3362,3362,INN03363,2,0,1,1,Meal Plan 1,0,Room_Type 1,60,2017,9,21,Offline,0,0,0,65.0,0,Not_Canceled,1
3363,3363,3363,INN03364,1,0,1,5,Meal Plan 1,0,Room_Type 1,349,2018,10,4,Online,0,0,0,80.0,0,Canceled,2
3364,3364,3364,INN03365,2,0,2,2,Not Selected,0,Room_Type 1,42,2018,12,9,Online,0,0,0,74.8,1,Not_Canceled,3
